Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
ACV,92.0,91.1,92.0,91.8,92.5,320800.0,155888.0,232828.0,119.0,47.4,1921.0,47.9,200300.0,2177.17,12.6,0.0,15.0,2399.0,2.5105485232067517,13966.24499640768
ALV,8.9,8.9,8.9,8.4,9.0,53900.0,78720.0,102918.0,18.4,3.0,3182.0,2.8,28.0,3.16,17.2,0.52,23.0,897.0,6.133333333333333,40.142276422764226
AMD,5.55,5.9,5.9,5.49,5.98,6314750.0,2419271.0,3426210.0,23.5,5.6,268.0,20.7,360.0,166.61,4.7,-0.17,6.0,259.0,4.196428571428572,68.86785316733842
ANV,16.3,15.8,15.9,15.5,16.7,1317960.0,632236.0,860323.0,16.3,3.3,1050.0,15.5,2038.0,124.65,11.1,0.46,10.0,158.0,4.9393939393939394,197.1573905946514
APC,71.0,71.4,71.0,70.4,71.9,25400.0,87946.0,57430.0,90.8,21.6,5741.0,12.4,853.0,12.01,22.7,0.41,25.0,3471.0,4.203703703703703,136.56107156664316
ART,8.9,9.1,9.3,8.7,9.3,283700.0,659096.0,503803.0,26.9,5.2,2229.0,4.0,120.0,31.05,14.6,0.0,35.0,351.0,5.1730769230769225,47.10998094359547
ATB,2.2,2.3,2.3,2.1,2.3,228300.0,386332.0,675191.0,11.2,1.4,243.0,9.1,31.0,13.88,11.1,0.0,2.0,0.0,8.0,35.927647722684114
BCC,6.8,6.5,6.5,6.5,6.8,28800.0,94369.0,99374.0,17.1,6.4,9.0,755.6,748.0,110.01,16.4,0.26,0.0,2332.0,2.671875,1165.742987633651
C47,12.7,11.9,11.9,11.8,12.7,165360.0,107996.0,85351.0,23.5,7.9,1271.0,10.0,216.0,17.02,17.6,0.73,7.0,595.0,2.9746835443037973,157.59842957146563
C69,4.6,5.0,4.6,4.5,5.2,352900.0,150649.0,105422.0,16.0,4.6,940.0,4.9,23.0,5.0,10.8,0.29,7.0,0.0,3.4782608695652177,33.18973242437719
CCL,4.0,4.0,3.97,3.97,4.1,53290.0,368415.0,138343.0,8.5,2.7,295.0,13.6,142.0,35.5,10.9,-0.11,3.0,129.0,3.148148148148148,96.35872589335396
CDO,1.22,1.19,1.19,1.19,1.25,74930.0,306020.0,280374.0,7.0,1.2,36.0,33.9,38.0,31.5,11.3,0.98,0.0,895.0,5.833333333333334,102.93444872884123
CMG,28.0,27.5,27.6,27.45,28.5,66770.0,303204.0,221568.0,49.0,13.2,2570.0,10.9,1886.0,67.24,18.9,0.15,17.0,1698.0,3.712121212121213,221.7648843682801
CVN,7.3,7.3,7.3,7.1,7.4,59900.0,52494.0,78542.0,8.0,2.5,1188.0,6.1,24.0,3.25,23.3,0.13,5.0,70.0,3.2,61.91183754333829
DHM,3.09,3.14,3.32,2.95,3.32,75170.0,155374.0,117367.0,10.3,2.8,211.0,14.6,78.0,25.14,11.7,0.38,2.0,507.0,3.678571428571429,161.8031330853296
DIG,23.75,22.6,23.0,22.6,23.9,2412670.0,4210332.0,3937922.0,24.4,7.6,366.0,64.9,5657.0,238.19,11.7,0.6,3.0,346.0,3.210526315789473,56.57273583175864
DST,2.8,3.1,2.9,2.8,3.0,1239600.0,1430716.0,2610347.0,42.5,2.8,35.0,80.0,90.0,32.3,10.1,0.17,0.0,21.0,15.178571428571427,22.576108745551178
