Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
ACM,1.2,1.2,1.2,1.1,1.2,312100.0,340664.0,237374.0,2.5,1.2,-536.0,-2.2,61.0,51.0,10.0,1.35,-5.0,158.0,2.083333333333333,149.70762980532137
ACV,92.0,91.1,92.0,91.8,92.5,320800.0,155888.0,232828.0,119.0,47.4,1921.0,47.9,200300.0,2177.17,12.6,0.0,15.0,2399.0,2.5105485232067517,13966.24499640768
AGR,5.88,5.59,5.59,5.56,5.88,277850.0,576769.0,601207.0,6.7,3.0,296.0,19.9,1247.0,211.2,8.4,0.99,4.0,-1965.0,2.2333333333333334,366.17779388281957
ALV,8.9,8.9,8.9,8.4,9.0,53900.0,78720.0,102918.0,18.4,3.0,3182.0,2.8,28.0,3.16,17.2,0.52,23.0,897.0,6.133333333333333,40.142276422764226
AMD,5.55,5.9,5.9,5.49,5.98,6314750.0,2419271.0,3426210.0,23.5,5.6,268.0,20.7,360.0,166.61,4.7,-0.17,6.0,259.0,4.196428571428572,68.86785316733842
ANV,16.3,15.8,15.9,15.5,16.7,1317960.0,632236.0,860323.0,16.3,3.3,1050.0,15.5,2038.0,124.65,11.1,0.46,10.0,158.0,4.9393939393939394,197.1573905946514
APS,3.0,2.9,2.9,2.8,3.0,130800.0,154953.0,135081.0,5.4,2.3,319.0,9.4,117.0,39.0,9.7,1.05,3.0,56.0,2.347826086956522,251.68922189309012
ART,8.9,9.1,9.3,8.7,9.3,283700.0,659096.0,503803.0,26.9,5.2,2229.0,4.0,120.0,31.05,14.6,0.0,35.0,351.0,5.1730769230769225,47.10998094359547
ASA,3.0,2.9,2.8,2.8,3.0,9700.0,112442.0,80292.0,4.0,1.8,48.0,62.5,30.0,10.0,10.5,1.96,0.0,146.0,2.2222222222222223,88.93473968801693
ATB,2.2,2.3,2.3,2.1,2.3,228300.0,386332.0,675191.0,11.2,1.4,243.0,9.1,31.0,13.88,11.1,0.0,2.0,0.0,8.0,35.927647722684114
ATG,2.75,2.67,2.8,2.62,2.8,11760.0,112033.0,128758.0,4.6,2.0,227.0,12.1,42.0,15.22,33.8,-0.29,1.0,436.0,2.3,135.8528290771469
BCC,6.8,6.5,6.5,6.5,6.8,28800.0,94369.0,99374.0,17.1,6.4,9.0,755.6,748.0,110.01,16.4,0.26,0.0,2332.0,2.671875,1165.742987633651
BID,35.4,34.55,36.4,35.0,36.5,2458380.0,2271264.0,2225235.0,36.0,15.6,1685.0,21.0,121023.0,3418.72,12.8,1.52,13.0,1884.0,2.307692307692308,1505.2059117742365
C47,12.7,11.9,11.9,11.8,12.7,165360.0,107996.0,85351.0,23.5,7.9,1271.0,10.0,216.0,17.02,17.6,0.73,7.0,595.0,2.9746835443037973,157.59842957146563
C69,4.6,5.0,4.6,4.5,5.2,352900.0,150649.0,105422.0,16.0,4.6,940.0,4.9,23.0,5.0,10.8,0.29,7.0,0.0,3.4782608695652177,33.18973242437719
CCL,4.0,4.0,3.97,3.97,4.1,53290.0,368415.0,138343.0,8.5,2.7,295.0,13.6,142.0,35.5,10.9,-0.11,3.0,129.0,3.148148148148148,96.35872589335396
CDO,1.22,1.19,1.19,1.19,1.25,74930.0,306020.0,280374.0,7.0,1.2,36.0,33.9,38.0,31.5,11.3,0.98,0.0,895.0,5.833333333333334,102.93444872884123
