Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
000001.SS,3083.79,3085.2,3089.02,3074.52,3093.82,379862924.0,79719123.0,0.0,3270.8,2464.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3272196072066222,0.0,BM
A32,24.5,28.0,24.5,24.5,24.5,500.0,241.0,140.0,28.5,20.3,0.0,0.0,167000000000.0,6800000.0,0.0,0.0,21.0,0.0,1.4039408866995073,28215.767634854772,BM
AAA,12.7,12.75,12.75,12.6,12.9,1193840.0,2136710.0,2110380.0,18.8,12.4,2900.0,4.4,2174000000000.0,171200000.0,18.8,1.03,16.0,1284.0,1.5161290322580645,80.12318002911017,BM
AAM,12.5,11.95,12.5,12.5,12.5,160.0,881.0,226.0,14.5,9.5,800.0,16.4,154000000000.0,10450000.0,20.2,0.69,4.0,1252.0,1.5263157894736843,11861.520998864926,BM
AAV,8.4,8.6,8.6,8.4,8.7,131200.0,114902.0,130345.0,11.3,7.7,1400.0,5.9,268000000000.0,31870000.0,11.5,-0.03,13.0,706.0,1.4675324675324677,277.3667995335155,BM
ABC,9.7,9.7,9.7,9.7,9.8,2500.0,10093.0,2080.0,11.4,7.9,1800.0,5.4,198000000000.0,20390000.0,27.6,0.0,7.0,842.0,1.4430379746835442,2020.2120281383136,BM
ABI,30.0,31.0,30.4,29.2,30.4,3300.0,11646.0,2108.0,32.4,20.1,6900.0,4.4,1140000000000.0,38000000.0,24.4,0.0,28.0,2825.0,1.6119402985074625,3262.922891980079,BM
ABR,13.8,12.0,12.0,12.0,13.8,2000.0,751.0,1800.0,25.4,4.1,0.0,0.0,41000000000.0,3000000.0,0.0,0.0,5.0,0.0,6.195121951219512,3994.6737683089214,BM
ABT,34.0,33.7,33.7,33.7,34.0,30.0,231.0,140.0,42.6,32.6,4900.0,6.9,480000000000.0,11560000.0,35.8,0.03,14.0,5758.0,1.3067484662576687,50043.29004329004,BM
ACB,23.0,23.0,23.0,22.9,23.2,1054400.0,1659834.0,1137854.0,25.0,21.6,3600.0,6.4,29638000000000.0,1621310000.0,15.6,1.57,23.0,2691.0,1.1574074074074074,976.7904501293502,BM
ACC,19.0,18.9,19.4,19.0,19.4,20.0,880.0,876.0,22.0,17.4,3500.0,5.4,190000000000.0,10000000.0,0.0,-0.19,17.0,0.0,1.264367816091954,11363.636363636364,BM
ACE,26.0,26.0,0.0,0.0,0.0,0.0,13.0,0.0,27.0,17.5,1800.0,14.4,79000000000.0,3050000.0,0.0,0.0,19.0,0.0,1.542857142857143,234615.38461538462,BM
ACL,23.0,23.2,23.2,22.9,23.3,2870.0,16939.0,5718.0,43.5,20.1,9700.0,2.4,524000000000.0,22800000.0,30.3,0.71,32.0,6517.0,2.1641791044776117,1346.0062577483914,BM
ACM,0.4,0.5,0.5,0.4,0.5,97800.0,175244.0,171470.0,0.8,0.3,-200.0,-2.2,20000000000.0,51000000.0,8.3,0.6,-2.0,-500.0,2.666666666666667,291.0228024925247,BM
ACS,12.0,12.0,0.0,0.0,0.0,0.0,118.0,80.0,14.5,4.9,0.0,0.0,48000000000.0,4000000.0,0.0,0.0,12.0,0.0,2.9591836734693877,33898.30508474576,BM
