3,3,108
3,1,30
2,3,95
1,0,6
3,2,51
2,4,267
1,1,4
4,1,66
0,4,260
4,2,84
1,4,264
4,3,147
2,0,8
3,2,49
4,1,68
1,4,264
1,2,23
1,0,8
0,3,87
3,2,43
0,4,263
1,3,90
0,4,264
1,4,257
1,4,264
1,3,86
4,2,84
2,1,16
1,0,3
1,0,5
4,2,85
0,3,85
2,1,18
1,0,6
0,0,4
1,2,18
1,4,257
0,4,258
4,1,67
4,3,146
3,3,110
2,2,28
0,0,5
0,1,8
0,4,261
3,1,30
0,4,261
0,3,84
1,4,258
4,4,320
2,3,98
3,0,28
2,4,268
0,2,16
3,3,112
3,4,283
1,0,6
2,1,14
0,2,24
4,3,145
4,0,70
0,1,9
0,0,0
0,4,262
2,4,265
0,0,0
3,1,33
4,4,322
4,4,328
0,4,263
4,1,72
2,0,17
0,3,84
0,4,263
1,1,9
1,1,6
1,1,7
3,1,32
0,0,8
0,1,8
3,1,33
0,4,264
2,0,10
3,1,32
1,2,23
4,3,153
1,4,266
3,0,34
1,1,2
2,2,29
4,0,69
2,0,9
4,1,69
1,1,2
1,0,5
1,0,1
2,0,8
2,1,15
1,2,19
4,3,153
2,1,12
4,3,148
4,1,69
2,3,97
3,2,46
3,4,283
4,1,65
2,2,24
3,3,108
0,3,90
1,4,261
0,2,22
0,2,17
3,3,116
0,0,0
0,0,6
4,2,83
1,3,91
0,2,23
2,2,27
0,2,19
3,2,47
0,1,1
0,1,5
0,1,2
0,4,260
3,3,108
3,1,29
4,0,73
1,1,11
0,4,261
1,3,87
4,3,151
2,4,266
4,0,68
0,0,3
1,0,7
3,4,284
2,1,11
4,2,83
4,1,67
1,1,11
4,2,84
4,1,72
4,4,329
0,4,256
1,4,262
0,3,89
2,4,266
0,2,21
3,2,50
3,3,115
3,1,29
2,3,93
2,4,269
0,2,25
4,4,326
4,0,65
0,1,1
4,0,67
2,1,15
2,2,32
2,3,92
2,1,13
2,1,18
2,2,30
3,2,44
2,2,32
4,1,68
0,2,25
3,1,31
0,3,89
3,0,27
2,2,31
4,4,327
1,0,7
0,2,16
0,4,256
2,0,10
1,3,90
3,3,112
1,3,82
1,2,18
3,1,32
1,2,20
1,3,85
1,1,4
0,2,16
0,2,21
2,0,14
4,0,73
2,1,13
0,1,10
2,1,15
3,1,29
4,0,67
3,3,113
4,4,328
1,4,261
1,2,17
1,4,262
4,3,147
1,2,20
4,1,68
2,1,15
2,2,31
3,1,28
4,0,65
4,1,73
2,2,28
1,3,83
4,0,73
4,4,327
0,0,2
1,3,89
1,3,90
0,4,263
2,0,16
2,0,13
3,2,43
4,3,153
4,0,69
3,0,29
2,4,269
2,3,97
3,4,286
2,1,11
4,4,328
4,4,320
1,0,4
0,4,260
4,3,146
4,2,83
2,1,10
1,3,84
1,4,259
4,2,84
1,2,26
4,4,329
4,3,145
3,0,32
0,1,5
3,1,37
2,4,270
2,1,9
1,4,259
0,3,89
0,4,257
0,2,24
1,2,17
3,1,34
1,2,24
4,2,81
0,3,81
2,0,17
2,3,97
1,3,88
2,1,9
3,1,31
2,0,14
1,0,2
2,1,11
3,2,43
2,1,11
1,2,22
2,0,17
1,1,7
3,1,35
4,0,70
1,4,265
0,1,5
0,3,83
1,1,9
0,4,261
0,1,2
0,0,9
0,1,4
4,0,65
0,2,20
0,0,6
4,3,145
2,3,98
3,3,109
2,1,13
4,2,85
3,4,289
4,1,66
4,3,153
3,2,47
2,0,9
0,4,264
0,3,81
3,0,34
0,3,90
3,1,29
0,1,8
1,0,6
3,2,52
2,1,9
2,3,93
4,2,82
1,4,259
1,2,26
3,1,29
4,0,72
1,2,19
4,0,65
0,1,6
4,2,89
0,0,8
1,3,90
0,1,1
3,3,112
2,0,10
3,3,113
4,1,72
1,3,91
1,2,26
3,2,50
1,4,259
0,4,264
3,1,36
1,1,10
4,2,81
1,4,261
0,0,0
2,1,15
3,4,287
3,1,31
4,0,67
0,1,10
2,0,15
0,4,263
0,4,262
2,0,16
